,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.88,0.9264,0.9554294802716807,0.8695652173913043,0.9523809523809523,0.8,sentence_all,0,3
1,0.9,0.9359999999999999,0.9618707986432318,0.8936170212765957,0.9545454545454546,0.84,sentence_all,7,3
2,0.88,0.9663999999999999,0.9724307886926484,0.875,0.9130434782608695,0.84,sentence_all,14,3
3,0.96,0.9888,0.9906580645161291,0.9583333333333334,1.0,0.92,sentence_all,21,3
4,0.96,0.992,0.9928827586206896,0.9583333333333334,1.0,0.92,sentence_all,28,3
0,0.88,0.9264,0.9554294802716807,0.8695652173913043,0.9523809523809523,0.8,sentence_img,0,3
1,0.9,0.9359999999999999,0.9618707986432318,0.8936170212765957,0.9545454545454546,0.84,sentence_img,7,3
2,0.9,0.9616,0.9693301350978771,0.8936170212765957,0.9545454545454546,0.84,sentence_img,14,3
3,0.96,0.9888,0.9906580645161291,0.9583333333333334,1.0,0.92,sentence_img,21,3
4,0.96,0.992,0.9928827586206896,0.9583333333333334,1.0,0.92,sentence_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,3
1,0.8,0.9136,0.9075490509110964,0.782608695652174,0.8571428571428571,0.72,sentence_text,7,3
2,0.98,0.9935999999999999,0.9944827586206897,0.9795918367346939,1.0,0.96,sentence_text,14,3
3,0.98,0.9984,0.9984615384615385,0.9795918367346939,1.0,0.96,sentence_text,21,3
4,0.96,0.9984,0.9984615384615385,0.9583333333333334,1.0,0.92,sentence_text,28,3
0,0.44,0.5024000000000001,0.4876789146586239,0.44,0.44,0.44,token_all,0,3
1,0.46,0.5024,0.4887741137857379,0.47058823529411764,0.46153846153846156,0.48,token_all,7,3
2,0.46,0.4944,0.48446608329165375,0.4489795918367347,0.4583333333333333,0.44,token_all,14,3
3,0.48,0.5056,0.49030901444225117,0.4583333333333333,0.4782608695652174,0.44,token_all,21,3
4,0.46,0.45919999999999994,0.46124530214656523,0.47058823529411764,0.46153846153846156,0.48,token_all,28,3
0,0.44,0.5024000000000001,0.4876789146586239,0.44,0.44,0.44,token_img,0,3
1,0.46,0.5024,0.4887741137857379,0.47058823529411764,0.46153846153846156,0.48,token_img,7,3
2,0.46,0.4928,0.4822438610694315,0.4489795918367347,0.4583333333333333,0.44,token_img,14,3
3,0.46,0.4976,0.48698862244393926,0.4489795918367347,0.4583333333333333,0.44,token_img,21,3
4,0.46,0.44639999999999996,0.45636573036082784,0.47058823529411764,0.46153846153846156,0.48,token_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,3
